# algorithm=org.fhcrc.cpas.tools.FeatureStrategyPeakClusters
# date=Wed Jan 04 11:34:06 PST 2006
# java.vendor=Sun Microsystems Inc.
# java.version=1.5.0_06
# label=227.1263+9.029694@C
# revision=3428
# user.name=dhmay
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	lightIntensity	heavyIntensity	ratio	labelCount	label	description
90	1536.706	866.3749	false	1730.7352	283.23117	2	1	0.03036623	17.047401	3.6059413	5	83	110	28	4410.0933	0.0	0.0	-1.0	0		
10	1442.138	885.53296	false	884.5257	254.37564	1	1	0.051802516	10.957876	1.974184	3	1	19	19	3128.476	0.0	0.0	-1.0	0		
53	1492.727	923.9307	false	1845.8469	248.67075	2	1	0.019071046	6.793689	1.268821	6	46	66	21	2525.8518	0.0	0.0	-1.0	0		
10	1442.138	743.4496	false	742.4423	242.97241	1	1	0.36724347	16.673885	3.1478488	2	1	23	23	3133.948	0.0	0.0	-1.0	0		
155	1612.951	752.8681	false	1503.7217	213.30421	2	1	0.006912842	5.251776	1.6897578	5	146	163	18	1960.1951	0.0	0.0	-1.0	0		
64	1506.426	892.48645	false	891.4792	192.40533	1	1	0.020324843	5.3871593	1.3468448	4	56	79	24	2522.3848	0.0	0.0	-1.0	0		
30	1465.762	997.9309	false	1993.8473	187.83504	2	1	0.13467881	6.8285155	10.812783	4	24	41	18	1966.9484	0.0	0.0	-1.0	0		
160	1620.026	911.9246	false	1821.8347	185.08272	2	1	0.030906506	5.0554004	1.6876639	6	154	175	22	1967.683	0.0	0.0	-1.0	0		
152	1609.635	717.44965	false	716.4424	171.94955	1	1	0.026095117	3.5228493	1.6586952	3	145	164	20	1751.7916	0.0	0.0	-1.0	0		
161	1621.131	706.39557	false	705.3883	160.95766	1	1	0.018639335	4.9873786	1.8558515	3	153	176	24	2102.268	0.0	0.0	-1.0	0		
152	1609.635	890.367	false	1778.7195	156.74854	2	1	0.024443056	6.155035	1.6796143	5	144	164	21	1572.3645	0.0	0.0	-1.0	0		
96	1543.3401	860.39404	false	1718.7736	139.18462	2	1	1.8538672	9.034119	4.7828193	2	89	119	31	2820.7847	0.0	0.0	-1.0	0		
147	1604.11	837.9496	false	1673.8846	136.80446	2	1	0.023377603	4.69201	1.263937	5	139	163	25	1554.9207	0.0	0.0	-1.0	0		
141	1597.491	751.3941	false	750.38684	122.81496	1	1	0.3230536	3.6550798	1.5901151	2	134	157	24	1420.1034	0.0	0.0	-1.0	0		
54	1493.829	933.50745	false	932.5002	91.11482	1	1	0.042651065	14.33261	4.036784	3	47	64	18	1169.9319	0.0	0.0	-1.0	0		
41	1477.91	814.4495	false	1626.8845	90.69115	2	1	0.042063314	4.5323076	1.6986389	4	35	51	17	890.73096	0.0	0.0	-1.0	0		
106	1555.933	943.9496	false	1885.8846	85.35123	2	1	0.08958818	4.347276	1.6350198	4	100	116	17	868.4418	0.0	0.0	-1.0	0		
49	1488.309	762.4218	false	761.41455	80.35767	1	1	0.28622773	5.2114644	1.6455137	2	30	61	32	1495.1868	0.0	0.0	-1.0	0		
7	1438.827	839.89825	false	1677.782	77.590706	2	1	0.1433234	7.591605	1.700844	6	1	13	13	709.0565	0.0	0.0	-1.0	0		
113	1563.661	762.39404	false	761.3868	65.01197	1	1	0.26678064	3.9526982	1.8393375	2	107	122	16	672.95795	0.0	0.0	-1.0	0		
84	1530.0741	754.6733	false	2260.998	62.93419	3	1	0.03457707	3.408136	1.4825554	5	76	99	24	1020.5836	0.0	0.0	-1.0	0		
32	1467.968	762.394	false	1522.7734	58.1941	2	1	0.037362233	4.5266304	2.0969381	4	23	56	34	1706.5333	0.0	0.0	-1.0	0		
78	1521.8949	722.9496	false	1443.8846	54.429108	2	1	1.0039462	2.277275	1.1607052	2	70	96	27	729.0447	0.0	0.0	-1.0	0		
133	1587.084	713.47736	false	712.4701	54.15092	1	1	0.21310906	2.6130245	1.7761527	2	127	140	14	495.32416	0.0	0.0	-1.0	0		
78	1521.8949	738.39404	false	1474.7736	53.90165	2	1	0.023181947	5.2229505	1.7374539	4	72	86	15	570.6757	0.0	0.0	-1.0	0		
65	1507.53	849.3701	false	2545.0886	53.762955	3	1	0.052317098	4.0156736	1.5039284	5	60	73	14	465.51755	0.0	0.0	-1.0	0		
73	1516.365	897.9219	false	1793.8292	50.27612	2	1	0.06445083	3.503397	1.3510647	4	66	88	23	636.03754	0.0	0.0	-1.0	0		
96	1543.3401	884.83844	false	1767.6624	44.110065	2	1	0.10503596	4.612285	1.3605572	4	90	104	15	481.09143	0.0	0.0	-1.0	0		
169	1629.968	931.4863	false	930.47906	42.98966	1	1	0.36831555	8.642971	1.7839783	2	164	178	15	443.9805	0.0	0.0	-1.0	0		
10	1442.138	878.89923	false	1755.7839	42.21076	2	1	0.06255057	8.002916	1.8932065	4	3	23	21	648.4707	0.0	0.0	-1.0	0		
99	1546.656	973.5051	false	972.49786	37.58937	1	1	0.3884389	5.7984066	1.8278615	2	84	111	28	596.66235	0.0	0.0	-1.0	0		
19	1452.072	777.894	false	1553.7734	37.298847	2	1	0.10549721	4.043577	1.7114521	4	13	26	14	353.35297	0.0	0.0	-1.0	0		
120	1572.718	962.56067	false	961.5534	36.604633	1	1	0.0470276	3.7570531	1.6153187	3	116	127	12	343.73813	0.0	0.0	-1.0	0		
100	1549.3059	803.39404	false	802.3868	36.288322	1	1	0.25022414	5.0557795	1.7072214	2	94	109	16	424.63715	0.0	0.0	-1.0	0		
133	1587.084	899.5606	false	898.55334	33.378635	1	1	0.31342128	3.6692555	1.5868448	2	128	138	11	306.7384	0.0	0.0	-1.0	0		
87	1533.389	999.465	false	1996.9155	33.137775	2	1	1.5572554	6.3160496	2.0162325	2	81	95	15	366.23627	0.0	0.0	-1.0	0		
60	1500.4551	963.4301	false	962.42285	32.454376	1	1	0.06004728	4.6703863	1.2987261	3	55	67	13	318.05377	0.0	0.0	-1.0	0		
119	1571.613	740.4218	false	1478.8291	31.117905	2	1	0.16148773	3.2891657	1.7676774	3	113	127	15	381.1432	0.0	0.0	-1.0	0		
71	1514.151	712.33844	false	1422.6624	28.84356	2	1	0.13024434	4.708288	1.890076	3	65	78	14	292.66504	0.0	0.0	-1.0	0		
64	1506.426	804.4218	false	803.41455	28.664963	1	1	0.22694567	5.2982864	2.3309264	2	59	70	12	301.6428	0.0	0.0	-1.0	0		
57	1497.1389	989.41046	false	1976.8064	27.899437	2	1	0.0800341	5.1628385	1.4107225	4	50	66	17	367.51492	0.0	0.0	-1.0	0		
107	1557.0349	712.8385	false	1423.6625	27.864803	2	1	0.13424858	3.3474646	1.8033156	3	102	114	13	233.77315	0.0	0.0	-1.0	0		
18	1450.97	858.39404	false	1714.7736	27.353619	2	1	0.24984908	4.359151	1.2107544	3	12	27	16	296.4916	0.0	0.0	-1.0	0		
112	1562.559	832.4965	false	831.48926	26.989212	1	1	0.23743035	3.4057102	1.3372945	2	106	119	14	264.8658	0.0	0.0	-1.0	0		
48	1487.204	998.9218	false	1995.8291	25.005688	2	1	1.4211133	6.0759854	2.2434335	2	23	56	34	1652.1282	0.0	0.0	-1.0	0		
51	1490.5199	882.47736	false	881.4701	23.839743	1	1	0.2608354	3.863288	1.1988434	2	44	59	16	246.77596	0.0	0.0	-1.0	0		
59	1499.35	734.355	false	2200.0432	22.603872	3	1	0.46518514	4.374649	1.8576926	3	54	69	16	256.6897	0.0	0.0	-1.0	0		
183	1646.983	788.38135	false	1574.7482	22.265047	2	1	0.16018914	3.2390409	1.4702808	3	182	187	6	120.742615	0.0	0.0	-1.0	0		
11	1443.241	718.8385	false	1435.6625	22.03814	2	1	0.13737366	5.8415055	1.1721654	3	5	20	16	276.7165	0.0	0.0	-1.0	0		
163	1623.338	919.9264	false	1837.8383	22.014122	2	1	0.097326875	4.2467813	1.7681828	4	157	169	13	204.0282	0.0	0.0	-1.0	0		
106	1555.933	799.90436	false	1597.7942	21.893003	2	1	0.1787207	3.7829995	1.4294713	3	100	118	19	329.17242	0.0	0.0	-1.0	0		
28	1463.555	706.3415	false	1410.6685	21.834545	2	1	0.14417402	4.9393167	2.666626	4	24	33	10	189.53963	0.0	0.0	-1.0	0		
18	1450.97	775.4132	false	774.40594	21.732546	1	1	0.1823443	3.9372854	1.6221325	2	12	26	15	266.54224	0.0	0.0	-1.0	0		
101	1550.408	902.47736	false	1802.9402	20.963018	2	1	0.2523244	4.5809717	1.6275873	3	97	107	11	188.49434	0.0	0.0	-1.0	0		
62	1504.2161	764.87115	false	1527.7278	20.895618	2	1	0.14162073	1.9453272	1.5952337	3	57	71	15	240.13245	0.0	0.0	-1.0	0		
121	1573.8251	812.8939	false	1623.7733	20.7668	2	1	0.18685539	4.3762164	1.6690917	3	117	135	19	255.54028	0.0	0.0	-1.0	0		
138	1594.173	898.36615	false	1794.7178	20.241491	2	1	0.24504542	3.0882318	1.6165768	3	132	144	13	245.08281	0.0	0.0	-1.0	0		
86	1532.283	848.4406	false	847.43335	19.943342	1	1	0.22216804	3.337897	1.5876746	2	81	90	10	174.99973	0.0	0.0	-1.0	0		
112	1562.559	915.4406	false	1828.8667	19.40043	2	1	0.071487285	6.733078	1.8670502	4	107	118	12	207.86975	0.0	0.0	-1.0	0		
134	1588.189	819.9219	false	1637.8292	19.28644	2	1	0.18797456	3.7616367	1.4357793	3	121	149	29	427.178	0.0	0.0	-1.0	0		
165	1625.547	924.5051	false	923.49786	19.142536	1	1	0.2656222	4.4865074	1.4487349	2	157	190	34	460.8666	0.0	0.0	-1.0	0		
160	1620.026	774.4218	false	1546.8291	18.513329	2	1	0.1006189	3.8323786	1.3799752	4	155	166	12	189.90523	0.0	0.0	-1.0	0		
141	1597.491	866.4558	false	1730.8971	18.454468	2	1	0.21171662	6.8616867	2.251393	3	137	145	9	158.28955	0.0	0.0	-1.0	0		
36	1472.386	821.894	false	1641.7734	18.311954	2	1	0.89969254	4.437122	2.0485418	2	31	42	12	173.91211	0.0	0.0	-1.0	0		
190	1654.717	772.1056	false	2313.295	18.227415	3	1	1.6324408	2.7306378	1.5803543	2	185	197	13	191.95105	0.0	0.0	-1.0	0		
189	1653.6119	795.79724	false	1589.58	18.100084	2	1	0.4389904	2.1666906	1.9637858	6	185	193	9	136.83437	0.0	0.0	-1.0	0		
125	1578.244	720.40295	false	719.3957	17.979336	1	1	0.14729932	2.7912984	1.8275713	2	119	130	12	185.67834	0.0	0.0	-1.0	0		
58	1498.244	728.33844	false	1454.6624	17.853184	2	1	0.7055904	4.645933	1.5060271	2	54	61	8	127.384735	0.0	0.0	-1.0	0		
40	1476.802	737.7274	false	2210.1604	17.584661	3	1	0.4221047	2.3676052	1.3212429	3	34	47	14	200.06436	0.0	0.0	-1.0	0		
184	1648.084	923.49536	false	1844.9762	17.501116	2	1	0.25476238	2.9027839	1.4817748	3	178	191	14	190.86887	0.0	0.0	-1.0	0		
52	1491.6239	712.06067	false	2133.1602	17.30023	3	1	0.3874387	4.107978	1.7840886	3	47	57	11	161.24269	0.0	0.0	-1.0	0		
47	1486.0979	752.894	false	1503.7734	17.296577	2	1	0.12321749	4.356211	2.275777	3	43	51	9	139.77597	0.0	0.0	-1.0	0		
84	1530.0741	772.31775	false	2313.9314	17.295063	3	1	0.30691585	3.4310145	1.6277168	6	78	91	14	225.47935	0.0	0.0	-1.0	0		
74	1517.47	760.026	false	2277.0562	17.291773	3	1	0.1126279	3.306075	1.8461468	4	69	81	13	196.80771	0.0	0.0	-1.0	0		
78	1521.8949	887.9629	false	1773.9113	17.275482	2	1	1.0479769	4.0171013	1.6778314	2	75	81	7	119.586494	0.0	0.0	-1.0	0		
166	1626.649	812.4218	false	1622.8291	17.162212	2	1	0.2005653	3.459236	1.7098325	3	154	175	22	357.6571	0.0	0.0	-1.0	0		
87	1533.389	708.36615	false	1414.7178	17.116194	2	1	0.09732659	3.841949	1.4370185	3	81	94	14	202.75557	0.0	0.0	-1.0	0		
153	1610.744	807.9496	false	1613.8846	16.51213	2	1	0.1620204	3.1151252	1.5052643	3	148	158	11	154.40529	0.0	0.0	-1.0	0		
189	1653.6119	777.83844	false	1553.6624	15.56468	2	1	0.78960824	2.3069694	1.8582531	2	185	193	9	114.02057	0.0	0.0	-1.0	0		
25	1460.2411	839.89404	false	1677.7736	15.548515	2	1	0.89466554	5.4628344	1.3299592	2	21	29	9	139.53761	0.0	0.0	-1.0	0		
88	1534.495	763.894	false	1525.7734	15.185635	2	1	0.7403228	2.6563435	1.7167183	2	80	94	15	192.89532	0.0	0.0	-1.0	0		
154	1611.847	828.4219	false	1654.8292	14.407858	2	1	0.8541623	4.2112613	1.5891064	2	148	161	14	180.96045	0.0	0.0	-1.0	0		
84	1530.0741	894.9495	false	1787.8845	13.784168	2	1	0.99748355	5.522041	1.9250757	2	81	88	8	106.66308	0.0	0.0	-1.0	0		
155	1612.951	779.342	false	1556.6694	13.677227	2	1	0.29838803	3.733221	1.4296668	5	151	158	8	103.69249	0.0	0.0	-1.0	0		
25	1460.2411	966.9569	false	1931.8993	13.234315	2	1	0.26144227	4.7923846	1.5298253	3	22	28	7	102.681526	0.0	0.0	-1.0	0		
148	1605.2151	715.4863	false	714.47906	13.02239	1	1	0.12459011	2.2419305	1.7638458	2	143	152	10	118.3482	0.0	0.0	-1.0	0		
146	1603.008	700.33844	false	1398.6624	12.97868	2	1	0.57723504	2.813163	1.0518236	2	140	152	13	129.9079	0.0	0.0	-1.0	0		
44	1482.779	851.3792	false	1700.7439	12.544146	2	1	0.86500615	4.606865	1.639889	2	40	47	8	103.97435	0.0	0.0	-1.0	0		
144	1600.8	724.78296	false	1447.5514	12.089928	2	1	0.11993108	2.3388426	1.5590185	3	139	150	12	119.71681	0.0	0.0	-1.0	0		
3	1432.855	973.4773	false	1944.9401	11.988873	2	1	1.0949216	5.134262	1.4953245	2	1	6	6	87.460846	0.0	0.0	-1.0	0		
115	1565.8679	961.4495	false	1920.8845	11.880297	2	1	1.0617795	3.6130219	1.4732159	2	112	118	7	90.95855	0.0	0.0	-1.0	0		
188	1652.506	823.9084	false	1645.8022	11.667941	2	1	0.80275226	2.3261023	1.3726226	2	184	191	8	78.11733	0.0	0.0	-1.0	0		
152	1609.635	916.8941	false	1831.7737	10.97584	2	1	0.9463763	3.0602555	1.4657626	2	147	155	9	85.93364	0.0	0.0	-1.0	0		
176	1639.2529	945.4282	false	2833.263	10.961087	3	1	0.22436157	2.7040412	1.426909	4	170	183	14	134.53862	0.0	0.0	-1.0	0		
126	1579.3511	785.9063	false	1569.7981	10.758252	2	1	0.6876949	4.192404	1.89983	2	123	132	10	112.03855	0.0	0.0	-1.0	0		
87	1533.389	901.97736	false	1801.9402	10.729155	2	1	0.8896377	2.6062474	1.758282	2	84	90	7	67.5143	0.0	0.0	-1.0	0		
139	1595.279	996.9773	false	1991.9401	10.687352	2	1	1.0864382	2.8001149	1.61058	2	134	143	10	110.503426	0.0	0.0	-1.0	0		
86	1532.283	976.5329	false	975.52563	10.52385	1	1	0.24311039	4.7637606	1.6199956	2	82	90	9	94.11434	0.0	0.0	-1.0	0		
77	1520.7871	751.4496	false	1500.8846	10.512782	2	1	0.61290383	2.6100478	1.3060299	2	71	85	15	145.49295	0.0	0.0	-1.0	0		
162	1622.235	945.4497	false	1888.8849	10.291391	2	1	0.9935557	2.8979034	1.5367426	2	159	166	8	68.685265	0.0	0.0	-1.0	0		
126	1579.3511	894.9496	false	1787.8846	10.0716715	2	1	0.8800408	3.452609	1.5965428	2	122	127	6	58.797913	0.0	0.0	-1.0	0		
68	1510.841	841.42175	false	1680.829	9.86309	2	1	0.77478623	4.5277953	1.2885544	2	64	72	9	90.13081	0.0	0.0	-1.0	0		
67	1509.7369	883.90576	false	1765.797	9.780082	2	1	0.8289908	4.5090303	1.4613488	2	65	69	5	45.286587	0.0	0.0	-1.0	0		
78	1521.8949	843.4219	false	1684.8292	9.704718	2	1	0.76790726	4.1957884	1.5430378	2	74	81	8	95.84043	0.0	0.0	-1.0	0		
45	1483.883	865.9774	false	1729.9403	9.581992	2	1	0.81078005	2.0906978	1.5075713	2	43	50	8	79.22528	0.0	0.0	-1.0	0		
154	1611.847	712.852	false	1423.6895	9.298521	2	1	0.55651903	2.634665	1.5825236	2	151	157	7	73.14436	0.0	0.0	-1.0	0		
155	1612.951	744.3661	false	1486.7177	9.249155	2	1	0.5799108	3.6500607	1.3102982	2	152	156	5	49.225636	0.0	0.0	-1.0	0		
110	1560.348	849.90686	false	1697.7992	8.831498	2	1	0.7482695	4.6714315	1.0736455	2	92	115	24	231.62288	0.0	0.0	-1.0	0		
161	1621.131	940.4496	false	1878.8846	7.829495	2	1	0.8505102	2.8476315	1.4530295	2	158	162	5	35.482746	0.0	0.0	-1.0	0		
190	1654.717	703.33844	false	1404.6624	6.945078	2	1	0.4422367	2.9655201	1.0980151	2	187	194	8	58.475906	0.0	0.0	-1.0	0		
245	1720.138	710.8662	false	1419.7179	134.68585	2	1	0.029664587	2.3153195	1.8742754	4	237	255	19	1328.0413	0.0	0.0	-1.0	0		
266	1744.9	933.50507	false	932.4978	111.19125	1	1	0.17762834	4.583388	1.7939644	5	259	277	19	1191.2352	0.0	0.0	-1.0	0		
202	1669.521	850.394	false	1698.7734	52.540447	2	1	0.056528963	3.132482	1.4350152	4	196	211	16	465.02182	0.0	0.0	-1.0	0		
267	1746.0049	879.9218	false	1757.8291	47.34367	2	1	0.05116273	1.7483298	2.6951659	4	261	274	14	439.94208	0.0	0.0	-1.0	0		
236	1710.1891	756.39594	false	1510.7773	46.764072	2	1	0.026653806	3.170765	1.3234175	4	231	245	15	482.06766	0.0	0.0	-1.0	0		
221	1692.073	752.4218	false	1502.8291	40.368374	2	1	0.018901695	2.2379096	1.8222171	4	215	230	16	384.6897	0.0	0.0	-1.0	0		
242	1716.82	992.47736	false	1982.9402	35.14933	2	1	0.07118329	3.5087726	1.64105	4	237	249	13	276.806	0.0	0.0	-1.0	0		
201	1668.418	879.89404	false	1757.7736	25.104517	2	1	0.26412737	2.7430215	1.7125672	3	196	207	12	204.63829	0.0	0.0	-1.0	0		
202	1669.521	710.1162	false	709.10895	25.050709	1	1	0.15605241	1.2435693	1.6660819	2	195	213	19	316.87708	0.0	0.0	-1.0	0		
267	1746.0049	700.314	false	1398.6135	24.43828	2	1	0.10405941	2.12366	1.311622	4	261	272	12	250.09795	0.0	0.0	-1.0	0		
259	1737.163	978.4218	false	977.41455	20.89334	1	1	0.31940377	2.7424333	1.8559712	2	254	264	11	178.23355	0.0	0.0	-1.0	0		
287	1769.681	805.41644	false	1608.8184	19.622795	2	1	0.03957075	4.9256177	1.6796584	4	281	292	12	212.87064	0.0	0.0	-1.0	0		
197	1663.9979	900.39734	false	1798.7802	18.91728	2	1	0.078326926	3.097046	1.3645674	4	193	204	12	179.02011	0.0	0.0	-1.0	0		
202	1669.521	706.1588	false	705.15155	18.747284	1	1	0.2346893	1.5760354	1.5913543	3	196	212	17	217.816	0.0	0.0	-1.0	0		
266	1744.9	737.39404	false	736.3868	18.24901	1	1	0.15491773	1.7830939	1.3656394	2	260	271	12	190.40718	0.0	0.0	-1.0	0		
268	1747.112	882.97736	false	1763.9402	17.574936	2	1	0.22116959	4.001904	2.1760929	3	264	272	9	161.69476	0.0	0.0	-1.0	0		
258	1736.057	735.35724	false	734.35	16.539185	1	1	0.14669652	1.6763642	1.6776172	2	254	265	12	142.48381	0.0	0.0	-1.0	0		
209	1677.258	785.31067	false	1568.6068	16.020573	2	1	0.15971142	2.5812354	1.4707069	3	204	213	10	137.32257	0.0	0.0	-1.0	0		
253	1730.537	792.9436	false	1583.8727	13.995199	2	1	0.14000612	1.0103183	1.335932	3	248	259	12	145.16576	0.0	0.0	-1.0	0		
283	1765.258	726.43	false	725.4227	13.683373	1	1	0.12777694	2.109017	1.2806293	2	279	288	10	112.47476	0.0	0.0	-1.0	0		
244	1719.031	703.8238	false	1405.633	13.357466	2	1	0.090755224	1.9263058	1.4493697	3	239	249	11	120.870804	0.0	0.0	-1.0	0		
237	1711.293	855.4219	false	854.4146	12.857161	1	1	0.17985836	1.6979486	1.5506792	2	235	240	6	69.526146	0.0	0.0	-1.0	0		
238	1712.396	915.4906	false	914.48334	10.523525	1	1	0.31047004	2.305878	1.3780106	2	233	244	12	114.989395	0.0	0.0	-1.0	0		
298	1783.397	961.9773	false	1921.9401	10.026451	2	1	0.96801114	3.2639694	1.4831836	2	296	300	5	49.12844	0.0	0.0	-1.0	0		
209	1677.258	703.37946	false	1404.7444	8.959682	2	1	0.523016	2.9025466	1.3871868	2	206	212	7	58.15871	0.0	0.0	-1.0	0		
214	1684.333	994.9773	false	1987.9401	8.903561	2	1	0.26269144	2.7133667	1.4830724	3	207	219	13	127.87867	0.0	0.0	-1.0	0		
245	1720.138	737.3385	false	1472.6625	8.836066	2	1	0.16278002	1.047459	1.3681198	3	241	249	9	69.46719	0.0	0.0	-1.0	0		
202	1669.521	700.0884	false	699.0811	8.662958	1	1	0.30464438	0.47092602	0.9106002	3	196	207	12	92.130394	0.0	0.0	-1.0	0		
244	1719.031	729.86365	false	1457.7128	8.528742	2	1	0.12952994	0.8813745	1.502022	3	241	247	7	55.766895	0.0	0.0	-1.0	0		
261	1739.372	725.7996	false	1449.5847	8.493132	2	1	0.13496591	1.1273366	1.2989447	3	258	268	11	84.25517	0.0	0.0	-1.0	0		
268	1747.112	817.9219	false	1633.8292	7.8729796	2	1	0.11579679	0.9019373	1.552996	3	266	270	5	42.611664	0.0	0.0	-1.0	0		
241	1715.713	713.44965	false	712.4424	7.6235814	1	1	0.15759718	1.1829581	1.6001912	2	237	244	8	59.78664	0.0	0.0	-1.0	0		
246	1721.241	719.3941	false	1436.7737	7.1339	2	1	0.49832055	1.8269055	1.2061229	2	242	248	7	51.847046	0.0	0.0	-1.0	0		
272	1753.085	713.85516	false	712.8479	7.049904	1	1	0.13535441	1.5644368	1.0592989	2	266	277	12	95.70477	0.0	0.0	-1.0	0		
232	1704.224	769.0154	false	2304.0244	6.289796	3	1	0.33241156	3.0169685	1.2757943	3	228	235	8	62.69944	0.0	0.0	-1.0	0		
224	1695.389	725.39404	false	2173.1604	6.278867	3	1	0.2767084	1.6497655	1.2496755	3	221	229	9	55.546417	0.0	0.0	-1.0	0		
249	1724.5541	773.42175	false	1544.829	5.9057474	2	1	0.5105971	0.67020833	1.4744527	2	246	250	5	29.369175	0.0	0.0	-1.0	0		
